tag,seed,model,n_epochs_logged,best_avg_epoch,best_avg_ff,best_avg_cdf,best_avg,best_ff_value,best_ff_cdf,last_ff,last_cdf,last_avg,log
efficientnetb4_dct_2026-05-29-22-29-17,1024,efficientnetb4_dct,9,8,0.7205,0.8735,0.7884,0.7205,0.8735,0.7205,0.8735,0.7884,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_dct_2026-05-29-22-29-17/training.log
efficientnetb4_hfdct_2026-06-01-15-47-27,1024,efficientnetb4_hfdct,9,7,0.7166,0.9033,0.7892,0.7232,0.9033,0.7232,0.9033,0.7892,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_hfdct_2026-06-01-15-47-27/training.log
efficientnetb4_hfdct_2026-06-01-16-19-24,1024,efficientnetb4_hfdct,9,7,0.7444,0.8636,0.7912,0.7444,0.8636,0.7444,0.8636,0.7912,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_hfdct_2026-06-01-16-19-24/training.log
efficientnetb4_hfdct_2026-06-01-16-27-07,2025,efficientnetb4_hfdct,9,8,0.7257,0.9114,0.8113,0.7257,0.9114,0.7257,0.9114,0.8113,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_hfdct_2026-06-01-16-27-07/training.log
efficientnetb4_hfdct_2026-06-01-16-34-47,7,efficientnetb4_hfdct,9,8,0.73,0.8271,0.7505,0.73,0.8271,0.73,0.8271,0.7505,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_hfdct_2026-06-01-16-34-47/training.log
efficientnetb4_hfdct_2026-06-01-16-59-15,2025,efficientnetb4_hfdct,9,8,0.7259,0.8508,0.7772,0.7259,0.8508,0.7259,0.8508,0.7772,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_hfdct_2026-06-01-16-59-15/training.log
efficientnetb4_hfdct_2026-06-01-17-06-30,7,efficientnetb4_hfdct,1,0,0.5097,0.3384,0.4241,0.5097,0.3384,0.5097,0.3384,0.4241,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_hfdct_2026-06-01-17-06-30/training.log
efficientnetb4_hfdct_2026-06-01-17-08-07,1024,efficientnetb4_hfdct,9,5,0.6935,0.8739,0.7837,0.7639,0.8739,0.7639,0.8739,0.7837,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_hfdct_2026-06-01-17-08-07/training.log
efficientnetb4_hfdct_2026-06-01-17-15-17,7,efficientnetb4_hfdct,9,6,0.6991,0.8586,0.7778,0.7066,0.8586,0.7066,0.8586,0.7778,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_hfdct_2026-06-01-17-15-17/training.log
efficientnetb4_hfinput_2026-06-01-17-31-10,1024,efficientnetb4_hfinput,9,5,0.698,0.8461,0.7684,0.7393,0.8461,0.7393,0.8461,0.7684,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_hfinput_2026-06-01-17-31-10/training.log
efficientnetb4_hfinput_2026-06-01-17-38-02,2025,efficientnetb4_hfinput,7,4,0.6959,0.8186,0.7573,0.7501,0.8186,0.7501,0.8186,0.7573,/home/huanthuytnhh/Desktop/thanhln/datn/DeepfakeBench/logs/training/efficientnetb4_hfinput_2026-06-01-17-38-02/training.log
